lat,lon,mean_ALD_hist,mean_ALD_future_medium,mean_ALD_future_high
63.40485,-145.37433,0,0.010362848,0.210362848
63.40658,-148.20918,0.604141406,0.813908695,1.013908695
63.40664,-147.56277,0.533072618,0.745641774,0.945641774
63.40776,-146.42886,0,0,0.2
63.40844,-146.99583,0.385232224,0.553444631,0.753444631
63.40957,-144.96562,0.506608072,0.751560494,0.951560494
63.41023,-145.94116,0.265949622,0.507979301,0.707979301
63.4108,-148.28882,0.582365787,0.766855396,0.966855396
63.41083,-145.45338,0,0.170897105,0.370897105
63.41126,-147.6423,0.450861053,0.627888584,0.827888584
62.79796,-145.51973,0.691452021,0.946558789,1.146558789
62.79977,-146.54987,0.609790732,0.832545288,1.032545288
62.79997,-147.10367,0.648363283,0.891829624,1.091829624
62.80067,-144.6441,0.730540735,0.986041322,1.186041322
62.80136,-148.36664,0.681692994,0.950048722,1.150048722
62.80226,-147.73514,0.532615936,0.720035041,0.920035041
62.8027,-146.07346,0.638405817,0.892643961,1.092643961
62.80318,-145.12051,0.732915233,1.018890801,1.218890801
62.80383,-145.59698,0.683128861,0.929804436,1.129804436
62.80486,-147.18127,0.669752543,0.912269911,1.112269911
62.81122,-147.89059,0.745298299,1.104342837,1.304342837
62.81345,-144.79828,0.715898381,0.983832318,1.183832318
62.81355,-148.60016,0.824497859,1.242651024,1.442651024
62.81372,-146.22829,0.525079029,0.734390786,0.934390786
62.81451,-147.33655,0.482900753,0.659544659,0.859544659
62.81533,-146.78241,0.527647307,0.73433101,0.93433101
62.81536,-145.27493,0.667942522,0.906643906,1.106643906
62.81544,-145.75162,0.630015483,0.848408361,1.048408361
62.81564,-147.96835,0.761150831,1.151087278,1.351087278
62.81752,-148.67804,0.885758662,1.376333075,1.576333075
63.59383,-145.46606,0.523537638,0.694792918,0.894792918
63.5939,-147.67068,0.23657632,0.492135626,0.692135626
63.59595,-146.52841,0,0.193189154,0.393189154
63.59605,-144.56303,0.787128141,1.104012761,1.304012761
63.59618,-147.09958,0,0.009805126,0.209805126
63.59744,-148.40207,0.518973347,0.708980403,0.908980403
63.59846,-147.75079,0.415100233,0.650723234,0.850723234
63.59879,-146.03711,0.653479796,0.878690654,1.078690654
63.59884,-145.05435,0.529699662,0.674150111,0.874150111
63.59975,-145.54572,0.481528203,0.666475904,0.866475904
